BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
A000372,HON. RICK W. ALLEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3/29/2017,AP,912278,UNITED STATES POSTAL SERVICE,2/1/2017,2/28/2017,FRANKED MAIL,2108.54,2017,UNITED STATES POSTAL SERVICE
A000372,HON. RICK W. ALLEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1/31/2017,AP,901568,UNITED STATES POSTAL SERVICE,12/1/2016,1/2/2017,FRANKED MAIL,8454.13,2017,UNITED STATES POSTAL SERVICE
B001291,HON. BRIAN BABIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2/27/2017,AP,906899,UNITED STATES POSTAL SERVICE,1/3/2017,1/31/2017,FRANKED MAIL,10796.92,2017,UNITED STATES POSTAL SERVICE
B001291,HON. BRIAN BABIN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1/31/2017,AP,901568,UNITED STATES POSTAL SERVICE,12/1/2016,1/2/2017,FRANKED MAIL,10820.66,2017,UNITED STATES POSTAL SERVICE
B001282,HON. ANDY BARR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2/27/2017,AP,906899,UNITED STATES POSTAL SERVICE,1/3/2017,1/31/2017,FRANKED MAIL,25137.57,2017,UNITED STATES POSTAL SERVICE
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3/28/2017,AP,912407,UNITED STATES POSTAL SERVICE,2/1/2017,2/28/2017,FRANKED MAIL,2234.84,2017,UNITED STATES POSTAL SERVICE
B001270,HON. KAREN BASS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2/6/2017,AP,901456,UNITED STATES POSTAL SERVICE,12/1/2016,1/2/2017,FRANKED MAIL,3090.65,2017,UNITED STATES POSTAL SERVICE
B000287,HON. XAVIER BECARRA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2/10/2017,AP,902390,UNITED STATES POSTAL SERVICE,12/1/2016,1/2/2017,FRANKED MAIL,33939.69,2017,UNITED STATES POSTAL SERVICE
B001292,HON. DONALD S. BEYER  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1/31/2017,AP,901568,UNITED STATES POSTAL SERVICE,12/1/2016,1/2/2017,FRANKED MAIL,43608.09,2017,UNITED STATES POSTAL SERVICE
B001257,HON. GUS  M. BILIRAKIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3/28/2017,AP,912407,UNITED STATES POSTAL SERVICE,2/1/2017,2/28/2017,FRANKED MAIL,9448.77,2017,UNITED STATES POSTAL SERVICE
